PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,dbhThreshcm,PlotSizeAcres,PlotSize,RandomUniform,fpc,Elev_Class,CC_Class,Stratum,DOM_TYPE,Dom_Type_Label,Secondary_Label,LifeForm,ForestType,TCUFT,STBIOMS,Elev_ave,Elev_mode,Elev_stddev,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_kurtosis,Elev_AAD,Elev_MAD_median,Elev_MAD_mode,Elev_L2,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_P01,Elev_P05,Elev_P10,Elev_P20,Elev_P25,Elev_P30,Elev_P40,Elev_P50,Elev_P60,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99,Pct_first_returns_above_ht,Pct_all_returns_above_ht,all_returns_above_ht_div_Total_first_returns_x_100,First_returns_above_ht,All_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mean,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,First_returns_above_mean,First_returns_above_mode,All_returns_above_mean,All_returns_above_mode,Total_first_returns,Total_all_returns
0304070005950006_0001,-1382202.208,-200243.8288,474372.3218,3841737.578,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.457226255,97.18403149,1,999,Coco1,PIPO,update,update,update,update,2157.42,42.22,10.41,8.46,4.33,18.77,0.41,5.43,0.37,3.14,3.45,2.73,3.27,2.42,0.12,0.32,0.23,0.05,0.13,2.44,3.06,4.48,6.93,7.65,8.32,8.99,10.14,11.52,12.46,13.08,13.8,15.5,18.36,22.68,68.38,56.22,74.25,1596,1733,35.98,49.65,28.71,39.64,37.91,52.35,840,1159,885,1222,2334,3082
0304070005950006_0002,-1381724.867,-200316.1789,474858.9011,3841741.183,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.531935146,97.18403149,1,999,Coco1,PIPO,update,update,update,update,180,4.32,4.86,3.03,1.61,2.61,0.33,2.58,0.12,2.08,1.37,1.3,1.85,0.93,0.02,0.03,0.19,0.02,0.03,2.1,2.39,2.67,3.21,3.49,3.72,4.36,4.89,5.45,5.9,6.08,6.33,6.93,7.47,8.44,20.84,20,20.84,296,296,12.39,20.77,11.89,19.93,12.39,20.77,176,295,176,295,1420,1480
0304070005950006_0003,-1382249.163,-200065.6088,474297.3154,3841904.745,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.222430982,97.18403149,1,999,Coco1,PIPO,update,update,update,update,3860,85.43,14.46,18.29,5.61,31.48,0.38,9.27,-0.44,1.99,4.76,4.27,3.61,3.19,-0.4,0.05,0.22,-0.12,0.01,3.27,4.48,5.7,8.6,9.88,11.47,14,15.17,17.34,18.61,19.16,19.71,21.15,21.74,22.6,45.9,46.43,54.24,644,761,28.79,18.38,26.11,15.74,30.5,18.38,404,258,428,258,1403,1639
0304070005950006_0004,-1382050.871,-200106.1297,474501.1055,3841895.996,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.323301743,97.18403149,1,999,Coco1,TEIX,update,update,update,update,679.89,18.46,4.29,3.75,1.17,1.38,0.27,1.74,0.2,2.48,0.97,0.86,0.95,0.67,0.02,0.05,0.15,0.03,0.08,2.09,2.47,2.7,3.22,3.39,3.62,3.9,4.27,4.63,4.98,5.13,5.29,5.83,6.26,7.11,26.3,24.6,26.33,713,714,15.38,20.43,14.36,19.09,15.38,20.43,417,554,417,554,2711,2902
0304070005950006_0005,-1381828.969,-200221.7925,474740.3149,3841817.36,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.44530858,97.18403149,1,999,Coco1,PIPO_QUGA,update,update,update,update,1465.03,35.03,6.99,7.98,2.41,5.83,0.34,3.7,-0.23,2.1,2.02,1.83,1.78,1.38,-0.08,0.07,0.19,-0.06,0.05,2.22,2.87,3.31,4.54,5.16,5.71,6.59,7.23,7.94,8.53,8.86,9.2,10.07,10.6,11.22,59.98,50.15,61.12,787,802,35.89,25.83,29.45,21.2,35.89,25.83,471,339,471,339,1312,1599
0304070005950006_0007,-1382140.477,-199893.6402,474378.2126,3842090.064,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.215037476,97.18403149,1,999,Coco1,PIPO,update,update,update,update,393.69,9.46,6.46,3.91,2.67,7.17,0.41,4.13,0.63,2.81,2.16,2.06,2.28,1.5,0.2,0.12,0.23,0.13,0.08,2.23,3.04,3.43,3.93,4.13,4.3,5.65,6.2,6.77,7.7,8.27,8.61,10.52,11.41,13.36,31.34,28.66,32.73,404,422,14.81,26.92,13.38,24.45,15.28,27.92,191,347,197,360,1289,1472
0304070005950006_0008,-1381970.573,-199921.1646,474551.6865,3842089.612,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.498148259,97.18403149,1,999,Coco1,PIPO,update,update,update,update,1102,25.57,7.52,6.25,2.52,6.38,0.33,4.13,0.1,2.07,2.13,2.02,1.89,1.45,0.04,0.06,0.19,0.03,0.04,2.62,3.5,4.3,5.27,5.58,5.86,6.47,7.41,8.13,9.03,9.71,10.09,11.12,11.74,12.42,43.55,38.89,44.63,1121,1149,21.95,29.52,19.12,25.86,21.95,29.68,565,760,565,764,2574,2954
0304070005950010_0001,-1381676.16,-200138.945,474879.2659,3841922.303,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.413479561,45.01674809,2,999,Coco2,JUDE2_PIPO,update,update,update,update,1186.27,26.7,6.11,4.59,3.05,9.34,0.49,2.85,1.2,3.68,2.33,1.28,1.33,1.61,0.45,0.26,0.26,0.28,0.16,2.17,2.66,3.03,3.83,4.05,4.29,4.8,5.24,5.71,6.33,6.9,8.51,11.24,12.77,14.9,25.78,25.52,26.81,476,495,9.42,18.79,9.17,18.41,9.64,19.33,174,347,178,357,1846,1939
0304070005950010_0002,-1381490.913,-200253.3121,475081.7853,3841839.218,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.172914388,45.01674809,2,999,Coco2,JUDE2_QUGA,update,update,update,update,370.98,10.24,3.4,2.75,1,1.01,0.29,1.17,2.06,9.91,0.71,0.58,0.56,0.5,0.1,0.09,0.14,0.21,0.17,2.08,2.24,2.38,2.61,2.72,2.81,3.04,3.24,3.48,3.7,3.89,4.02,4.5,4.74,7.93,13.73,13.52,13.82,612,616,9.67,16.37,9.51,16.12,9.71,16.46,431,730,433,734,4457,4553
0304070005950010_0003,-1381268.753,-200203.2427,475294.9618,3841922.885,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.735794823,45.01674809,2,999,Coco2,JUDE2_QUGA,update,update,update,update,836.54,24.98,4.22,5.09,1.27,1.61,0.3,2.12,0.06,2.02,1.09,1.05,1.09,0.73,0.005304,0.01,0.17,0.007244,0.02,2.07,2.26,2.45,2.9,3.1,3.32,3.8,4.26,4.74,5.1,5.23,5.4,5.81,6.22,6.93,22.64,21.58,22.64,437,437,14.66,8.8,13.97,8.39,14.66,8.8,283,170,283,170,1930,2025
0304070005950010_0004,-1381250.802,-200037.6337,475286.56,3842087.826,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.10366057,45.01674809,2,999,Coco2,JUDE2_PIPO,update,update,update,update,1511.68,35,5.51,4.56,2.66,7.09,0.48,3.3,0.91,2.84,2.15,1.49,1.42,1.45,0.34,0.13,0.26,0.23,0.09,2.09,2.39,2.66,3.27,3.45,3.68,4.3,4.74,5.27,6.27,6.76,7.83,9.92,10.83,12.1,42.13,39.48,42.79,632,642,18.33,27.33,17.15,25.58,18.6,27.73,275,410,279,416,1500,1626
0304070005950011_0001,-1381971.754,-200888.6557,474703.9819,3841142.185,"fourFri, P1",Coconino,12.7,0.0333333,1/30 Acre,0.502657943,102.5904468,3,999,Coco3,JUDE2,update,update,update,update,1098.74,25.04,3.87,2.72,1.89,3.58,0.48,1.5,1.74,5.37,1.35,0.68,0.63,0.92,0.36,0.2,0.23,0.38,0.22,2.03,2.14,2.28,2.55,2.65,2.78,2.99,3.24,3.55,3.88,4.15,4.48,7.29,8.31,9.87,37.72,35.73,38.26,352,357,19.29,46.08,18.11,43.54,19.39,46.62,180,430,181,435,933,999
0304070005950011_0002,-1382190.244,-200670.5446,474451.9196,3841321.659,"fourFri, P1",Coconino,12.7,0.0333333,1/30 Acre,0.264133747,102.5904468,3,999,Coco3,JUDE2_PIPO,update,update,update,update,1067.59,23.09,5.08,4.43,1.66,2.75,0.32,2.5,0.1,2.15,1.38,1.24,1.29,0.95,0.02,0.05,0.18,0.02,0.05,2.12,2.37,2.8,3.65,3.85,4.09,4.49,5.03,5.52,6.04,6.36,6.65,7.4,7.73,8.37,37.43,34.82,37.65,341,343,20.96,26.67,19.39,24.67,20.96,26.67,191,243,191,243,911,985
0304070005950011_0003,-1381988.106,-200703.7153,474658.3701,3841320.706,"fourFri, P1",Coconino,12.7,0.0333333,1/30 Acre,0.352863358,102.5904468,3,999,Coco3,QUGA,update,update,update,update,2005.13,53.23,6.41,5.95,2.4,5.8,0.37,4.07,0.17,1.91,2.08,1.99,2.01,1.38,0.06,0.01,0.21,0.04,0.01,2.31,2.9,3.33,4.03,4.33,4.63,5.53,6.09,7.22,8.03,8.4,8.83,9.85,10.39,11.11,45.21,39.97,45.71,643,650,22.29,25.73,19.49,22.5,22.29,25.73,317,366,317,366,1422,1626
0304070005950011_0004,-1381807.299,-200734.2659,474843.1747,3841318.991,"fourFri, P1",Coconino,12.7,0.0333333,1/30 Acre,0.000916599,102.5904468,3,999,Coco3,PIPO_QUGA,update,update,update,update,3282.1,68.71,9.37,11.37,4.65,21.67,0.49,6.87,0.51,2.53,3.88,3.41,4.17,2.63,0.29,0.16,0.28,0.11,0.06,2.26,3.01,3.84,4.8,5.38,5.82,7.28,9.12,10.69,11.65,12.25,12.77,16.21,18.23,20.87,63.31,54.13,66.9,706,746,33.63,23.4,27.93,19.15,34.52,23.67,375,261,385,264,1115,1378
0304070005950011_0006,-1382111.523,-200501.7353,474503.4923,3841499.212,"fourFri, P1",Coconino,12.7,0.0333333,1/30 Acre,0.424118592,102.5904468,3,999,Coco3,PIPO,update,update,update,update,5330.38,118.2,12.51,6.7,5.29,28.03,0.42,9.34,-0.27,1.9,4.53,4.67,6.24,3.03,-0.23,0.02,0.24,-0.07,0.006647,2.45,3.14,4.42,6.86,7.78,9.35,11.41,12.94,15.33,16.35,17.12,18.11,19.01,19.75,20.9,55.27,54.24,63.01,650,741,34.09,48.12,30.38,46.77,35.28,54.33,401,566,415,639,1176,1366
0304070005950011_0007,-1381921.633,-200550.8395,474700.2811,3841480.749,"fourFri, P1",Coconino,12.7,0.0333333,1/30 Acre,0.154246704,102.5904468,3,999,Coco3,JUDE2_PIPO,update,update,update,update,3099.92,52.74,8.62,3.11,5.4,29.21,0.62,9.43,0.51,1.73,4.86,2.92,2.77,3.01,0.57,-0.14,0.34,0.18,-0.04,2.22,2.81,3.1,3.52,3.8,4.16,4.9,5.89,9.34,12.56,13.23,14.89,17.01,17.97,18.84,62.5,57.47,67.16,630,677,28.86,60.81,26.99,56.02,31.54,65.47,291,613,318,660,1008,1178
0304070005950011_0008,-1381974.21,-200261.1438,474601.997,3841756.182,"fourFri, P1",Coconino,12.7,0.0333333,1/30 Acre,0.84318597,102.5904468,3,999,Coco3,PIPO,update,update,update,update,1225.35,32.23,9.05,7.84,3.54,12.6,0.39,5.17,-0.07,1.96,3.06,2.57,3.22,2.04,-0.03,0.05,0.22,-0.01,0.02,2.1,3.42,4.23,5.27,6.61,6.82,7.77,9.08,10.7,11.52,11.78,12.36,13.94,14.63,15.22,33.8,32.52,36.06,552,589,18.79,21.67,16.95,20.04,18.79,22.22,307,354,307,363,1633,1811
0304070005950019_0001,-1381039.074,-201305.762,475698.4455,3840879.256,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.997607042,124.2792374,4,999,Coco4,PIPO,update,update,update,update,6124,108.49,15.62,20.83,6.57,43.24,0.42,10.69,-0.09,2.23,5.53,5.35,5.99,3.76,-0.11,0.21,0.24,-0.03,0.05,2.43,4.11,6.52,9.53,10.32,11.64,13.89,15.72,17.89,20.35,21.01,21.64,23.29,25.34,29.57,73.79,61.69,89.37,1174,1422,40.22,22.56,31.67,16.7,45.88,24.19,640,359,730,385,1591,2305
0304070005950019_0002,-1380861.417,-201336.1692,475880.0908,3840877.189,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.962891509,124.2792374,4,999,Coco4,PIPO,update,update,update,update,2906.17,62.08,12.07,15.01,4.16,17.34,0.34,5.59,-0.65,2.55,3.38,2.37,2.52,2.32,-0.39,0.22,0.19,-0.16,0.09,2.46,3.95,5.21,8.03,9.49,10.65,12.1,13.01,13.99,14.75,15.08,15.38,16.57,17.82,18.85,59.27,56.04,65.25,783,862,40.04,17.48,34.65,15.01,40.34,17.48,529,231,533,231,1321,1538
0304070005950019_0003,-1380906.614,-201242.3926,475820.2316,3840961.956,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.607654235,124.2792374,4,999,Coco4,PIPO_QUGA,update,update,update,update,2260.21,46.61,12.02,14.3,5.51,30.39,0.45,8.66,0.02,2.02,4.74,4.46,4.64,3.16,-0.007938,0.09,0.26,-0.002506,0.02,2.45,3.33,4.31,6.41,7.31,8.03,10.28,12.52,14.25,15.42,15.98,16.92,19.37,20.46,23.95,80.99,61.27,98.42,1436,1745,48.27,37.39,33.21,25.17,53.35,40.43,856,663,946,717,1773,2848
0304070005950019_0004,-1380707.814,-201131.6654,476000.5354,3841101.367,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.228137715,124.2792374,4,999,Coco4,PIPO,update,update,update,update,2258.34,43.22,9.28,4.55,4.55,20.72,0.49,7.6,0.37,2.08,3.83,3.78,4.36,2.6,0.26,0.08,0.28,0.1,0.03,2.3,3.09,3.7,4.69,5.2,5.95,7.4,8.92,9.94,11.9,12.81,13.73,16.09,17.45,18.76,56.5,47.71,61.17,956,1035,28.13,49.7,22.82,41.03,29.25,52.6,476,841,495,890,1692,2169
0304070005950019_0005,-1380524.598,-200976.6237,476158.2991,3841281.736,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.297978354,124.2792374,4,999,Coco4,PIPO_QUGA,update,update,update,update,3802.97,82.73,10.62,12.39,5.29,28.07,0.49,7.69,0.44,2.57,4.37,3.84,4.23,3,0.26,0.23,0.28,0.08,0.07,2.16,3.02,3.77,5.43,6.41,7.02,8.52,10.3,12.06,13.22,14.1,14.97,17.84,20.94,23.67,63.33,53.05,67.9,957,1026,33.62,26.07,26.88,20.83,34.41,26.67,508,394,520,403,1511,1934
0304070005950019_0006,-1380338.559,-200851.9803,476323.696,3841432.782,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.672061667,124.2792374,4,999,Coco4,PIPO,update,update,update,update,1697.18,35.36,8.12,5.93,4.12,17.04,0.5,7.1,0.4,2.03,3.59,3.22,2.96,2.35,0.27,0.02,0.28,0.11,0.01,2.15,2.67,3.07,4.09,4.45,5.05,6.01,7.22,9.5,10.59,11.56,12.11,14.19,15.48,17.14,56.99,51.07,60.4,652,691,28.93,38.72,24.9,34.29,29.45,40.55,331,443,337,464,1144,1353
0304070005950019_0007,-1380198.676,-200712.1265,476440.7401,3841591.523,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.735093339,124.2792374,4,999,Coco4,PIPO,update,update,update,update,2638.97,56.78,9.52,7.1,5.48,30.07,0.57,6.99,0.93,2.8,4.41,2.84,2.74,2.98,0.72,0.3,0.31,0.24,0.1,2.42,3.06,3.92,4.94,5.38,6.02,6.94,7.86,8.94,10.42,12.36,13.3,19.09,20.87,22.5,61.31,51.61,66.09,680,733,23.53,37.96,19.57,31.47,25.06,40.3,261,421,278,447,1109,1420
0304070005950019_0008,-1379997.793,-200568.6342,476617.9215,3841763.337,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.079078112,124.2792374,4,999,Coco4,PIPO_QUGA,update,update,update,update,1263.5,31.56,7.85,10.27,2.36,5.57,0.3,3.53,-0.42,2.4,1.94,1.77,2.27,1.34,-0.13,0.09,0.17,-0.09,0.06,2.46,3.32,4.53,5.65,6.28,6.77,7.45,8,8.74,9.47,9.81,10.11,10.69,11.16,11.84,40.66,35.01,43.39,1000,1067,23.99,8.25,19.36,6.66,23.99,8.25,590,203,590,203,2459,3047
0304070005950019_0009,-1379812.332,-200437.2738,476781.6776,3841920.869,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.350681134,124.2792374,4,999,Coco4,PIPO,update,update,update,update,2414,45.03,13.69,10.81,5.69,32.46,0.41,7.98,0.06,2.12,4.76,3.95,4.07,3.25,0.08,0.19,0.23,0.02,0.06,2.65,4.13,5.87,9.33,9.93,10.53,11.18,13.8,14.69,17.13,17.91,19.99,22.16,22.87,23.81,39.12,36.68,41.81,858,917,20.93,26.49,19.03,25.03,21.7,28.54,459,581,476,626,2193,2500
0304070005950019_0010,-1379612.669,-200329.2209,476963.2674,3842057.795,"fourFri, P1",Coconino,12.7,0.05,1/20 Acre,0.415558748,124.2792374,4,999,Coco4,PIPO,update,update,update,update,2320,53.97,11.98,9.43,3.61,13.04,0.3,5.25,-0.05,2.66,2.97,2.8,3.04,2.04,0.04,0.17,0.17,0.01,0.08,2.87,6.93,8.28,8.94,9.41,9.6,10.38,12.27,12.83,13.9,14.66,15.52,16.82,18.04,19.42,43.42,39.7,47.67,532,584,24.73,34.61,21,29.91,25.22,35.91,303,424,309,440,1225,1471
0304070006040001_0001,-1385347.285,-201622.892,471460.7976,3839896.869,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.32863356,171.7031999,5,999,Coco5,PIPO,update,update,update,update,3917,72.63,15.81,17.48,4.91,24.14,0.31,7.93,-0.17,2.1,4.13,4.03,3.93,2.82,-0.11,0.12,0.17,-0.04,0.04,5.48,7.53,9.22,10.97,11.77,12.41,14.89,16.25,17.55,19.06,19.7,20.53,22.39,23.3,24.45,44.36,44.37,52.2,1737,2044,26.41,20.74,23.59,18.08,27.76,21.27,1034,812,1087,833,3915,4606
0304070006040001_0002,-1385130.362,-201634.5423,471678.5485,3839919.295,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.108858302,171.7031999,5,999,Coco5,PIPO,update,update,update,update,225,6.99,5.16,5.02,1.65,2.73,0.32,2.22,0.49,3.1,1.31,1.14,1.08,0.92,0.07,0.1,0.18,0.07,0.11,2.09,2.67,3.05,3.71,3.95,4.17,4.6,5.11,5.46,5.95,6.18,6.4,7.18,8.15,9.66,12.41,12.29,12.49,334,336,6.65,7.24,6.55,7.13,6.65,7.24,179,195,179,195,2690,2732
0304070006040001_0003,-1385303.887,-201361.4596,471462.5149,3840159.602,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.990790459,171.7031999,5,999,Coco5,PIPO,update,update,update,update,360,9.12,5.04,4.35,1.97,3.89,0.39,2.46,1.01,3.47,1.56,1.16,1.11,1.07,0.24,0.13,0.21,0.22,0.12,2.24,2.67,3.01,3.35,3.57,3.77,4.19,4.48,5.08,5.67,6.03,6.45,8.08,9,10.66,18.08,17.67,18.08,437,437,8.15,11.13,7.96,10.88,8.15,11.13,197,269,197,269,2416,2472
0304070006040001_0004,-1385108.382,-201393.4568,471662.1758,3840158.766,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.170594961,171.7031999,5,999,Coco5,PIPO,update,update,update,update,1675,32.19,12.4,20.12,6.23,38.83,0.5,10.95,-0.14,1.65,5.5,5.51,6.79,3.58,-0.16,-0.13,0.28,-0.04,-0.03,2.24,2.88,3.44,4.94,7.03,8.02,10.38,13.33,15.01,17.1,17.99,19.26,20.43,21.04,21.77,22.82,24.62,26.88,579,682,14.38,3.9,14.15,3.57,15.45,3.9,365,99,392,99,2537,2770
0304070006040001_0005,-1385253.801,-201165.5439,471481.2819,3840359.231,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.62040585,171.7031999,5,999,Coco5,PIPO,update,update,update,update,1189,29.19,7.44,7.29,2.7,7.33,0.36,3.92,0.41,2.46,2.21,1.89,1.95,1.53,0.14,0.13,0.2,0.09,0.08,2.59,3.48,4.1,4.99,5.34,5.74,6.47,7.12,7.86,8.71,9.27,9.89,11.63,12.38,13.69,48.92,42.53,51.28,1182,1239,23.17,24.62,19.39,20.7,23.38,24.95,560,595,565,603,2416,2913
0304070006040001_0006,-1384879.772,-201206.2527,471860.011,3840377.709,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.674547114,171.7031999,5,999,Coco5,PIPO,update,update,update,update,3692,70.86,13.28,10.31,5.23,27.38,0.39,8.85,-0.05,1.96,4.49,4.46,4.35,3.01,-0.03,0.07,0.22,-0.01,0.02,2.82,5.04,6.32,8.14,8.96,10.04,11.4,13.27,15.1,16.87,17.82,18.57,20.27,21.32,23,52.25,50.81,61.25,1469,1722,29.56,39.09,25.81,35.29,31.12,42.54,831,1099,875,1196,2811,3389
0304070006040001_0007,-1384645.543,-201256.963,472101.183,3840364.591,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.707824842,171.7031999,5,999,Coco5,PIPO,update,update,update,update,774.13,12.88,9.15,13.42,4.2,17.69,0.45,7.64,-0.14,1.72,3.71,3.93,4.74,2.41,-0.1,-0.05,0.26,-0.04,-0.02,2.16,2.47,2.88,4.8,5.67,6.77,7.57,8.68,11.12,12.62,13.31,13.58,14.33,14.87,16.15,15.31,15.82,16.58,699,757,8.89,4.33,8.67,4.13,9.09,4.33,406,198,415,198,4564,4783
0304070006040001_0008,-1384830.987,-201025.1262,471879.8304,3840562.655,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.919438905,171.7031999,5,999,Coco5,PIPO,update,update,update,update,2982,58.7,14.65,14.46,5.58,31.2,0.38,8.57,-0.29,2.22,4.57,4.05,4.29,3.19,-0.23,0.22,0.21,-0.07,0.06,2.99,4.5,6.28,8.86,10.36,12.14,13.84,15.07,16.46,18.06,18.94,19.9,22.04,23.07,24.15,30.38,31.48,34.78,678,776,17.88,18.55,17.32,18.01,19.13,19.9,399,414,427,444,2231,2465
0304070006040001_0009,-1384607.282,-201027.9336,472102.9291,3840594.796,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.95628186,171.7031999,5,999,Coco5,NVG,update,update,update,update,93,2.61,7.63,6.48,4.68,21.92,0.61,5.7,1.14,3.47,3.67,2.35,2.4,2.49,0.69,0.33,0.32,0.27,0.13,2.09,2.4,2.91,3.88,4.2,4.64,5.46,6.37,6.92,8.22,9.9,12.24,14.77,18.12,20.19,12.79,12.97,13.58,259,275,4.89,7.01,4.95,7.12,5.18,7.46,99,142,105,151,2024,2120
0304070006040001_0010,-1384569.801,-200788.7463,472102.2881,3840834.825,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.688304779,171.7031999,5,999,Coco5,PIPO,update,update,update,update,5514.73,90.99,20.73,27.97,7.61,57.93,0.36,12.02,-0.61,2.2,6.55,5.34,4.79,4.27,-0.75,0.1,0.2,-0.17,0.02,3.96,6.21,7.6,13.1,15.25,16.32,20.2,23.18,24.84,26.19,27.27,27.95,29.17,29.96,30.9,36.45,39.11,45.52,1544,1928,25.19,9.06,23.08,7.79,26.87,9.06,1067,384,1138,384,4235,4929
0304070006040001_0011,-1384789.311,-200776.0562,471881.7958,3840813.014,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.202036447,171.7031999,5,999,Coco5,PIPO,update,update,update,update,1716,33.44,13.32,18.64,4.94,24.47,0.37,7.91,-0.56,2.19,4.17,3.72,4.37,2.79,-0.44,0.08,0.2,-0.15,0.02,2.64,4.08,5.21,8.53,9.71,11,12.73,14.27,15.7,17.22,17.63,18.11,18.85,19.4,20.22,26.19,27.94,31.02,1439,1704,17.14,4.31,15.89,3.88,17.64,4.31,942,237,969,237,5493,6098
0304070006040001_0012,-1385059.507,-201194.4278,471679.2452,3840361.255,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.961786967,171.7031999,5,999,Coco5,PIPO,update,update,update,update,571,16.67,5.3,3.95,2.02,4.1,0.38,3.04,0.56,3.01,1.67,1.53,1.45,1.14,0.11,0.07,0.21,0.1,0.06,2.21,2.51,2.76,3.34,3.63,3.98,4.48,5.11,5.8,6.38,6.68,7.02,7.98,8.77,10.35,32.69,30.28,32.86,771,775,17.47,26.59,16.13,24.61,17.51,26.71,412,627,413,630,2358,2559
0304070006040003_0001,-1386160.07,-201553.9015,470640.8931,3839837.648,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.663350279,168.4446939,6,999,Coco6,PIPO,update,update,update,update,1500,30.67,8.97,7.68,3.26,10.65,0.36,4.65,0.19,2.25,2.68,2.36,2.42,1.86,0.08,0.13,0.2,0.04,0.07,2.84,3.93,4.44,5.93,6.64,7.08,7.89,8.73,9.52,10.81,11.28,11.83,13.79,14.6,15.82,50,44.54,51.5,1491,1536,24.11,32.66,21.14,28.65,24.44,33.13,719,974,729,988,2982,3448
0304070006040003_0002,-1385843.8,-201582.935,470960.2806,3839858.55,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.348818532,168.4446939,6,999,Coco6,PIPO,update,update,update,update,2061,45.32,11.61,2.68,6.72,45.17,0.57,13.14,0.12,1.57,6.01,6.57,9.11,3.85,0.16,-0.21,0.33,0.04,-0.05,2.17,2.61,2.98,4.27,5.04,6.18,7.88,11.8,13.87,16.43,18.18,18.91,21.07,21.89,22.63,25.14,25.92,28.11,1220,1364,14.59,26.4,14.67,27.13,15.91,29.43,708,1281,772,1428,4852,5262
0304070006040003_0003,-1385561.747,-201692.4029,471258.3736,3839795.363,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.784685345,168.4446939,6,999,Coco6,PIPO,update,update,update,update,1566,34.24,8.49,8.68,3.01,9.09,0.35,4.52,-0.05,2.21,2.5,2.25,2.25,1.73,-0.02,0.11,0.2,-0.01,0.06,2.3,3.44,4.4,5.75,6.22,6.71,7.63,8.57,9.41,10.31,10.74,11.28,12.59,13.26,14.4,39.55,35.98,41.06,1073,1114,21.48,20.64,18.92,18.15,21.59,20.71,583,560,586,562,2713,3096
0304070006040003_0004,-1386287.683,-201350.231,470481.5663,3840017.155,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.465115518,168.4446939,6,999,Coco6,PIPO,update,update,update,update,2072,47.16,10.29,12.18,3.05,9.33,0.29,4.22,-0.32,2.62,2.48,2.08,2.26,1.73,-0.11,0.17,0.16,-0.06,0.09,2.86,4.82,6.12,7.56,8.27,8.84,9.72,10.52,11.4,12.16,12.49,12.97,14.16,14.83,16.17,56.32,52.18,60.63,1411,1519,32.13,18.2,27.89,15.66,32.41,18.2,805,456,812,456,2505,2911
0304070006040003_0005,-1385974.808,-201398.6164,470800.6461,3840018.581,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.693257249,168.4446939,6,999,Coco6,PIPO,update,update,update,update,1120,19.41,12.16,20.06,5.98,35.82,0.49,10.34,-0.04,1.63,5.37,5.15,7.53,3.44,-0.04,-0.11,0.28,-0.01,-0.03,2.47,2.95,3.98,5.97,6.92,7.59,9.41,12.52,15.27,16.5,17.26,18.28,20.12,20.93,21.72,17.72,19.13,20.94,601,710,9.91,2.44,10.4,2.23,11.38,2.44,336,83,386,83,3390,3710
